t,topples_at_t,mass
1,0,135
2,0,136
3,0,137
4,3,138
5,0,139
6,0,140
7,3,141
8,0,142
9,0,143
10,2,144
11,0,145
12,0,146
13,10,147
14,0,148
15,2,149
16,0,150
17,0,151
18,13,152
19,5,153
20,0,154
21,0,155
22,2,156
23,0,157
24,0,158
25,10,159
26,0,160
27,16,160
28,0,161
29,0,162
30,0,163
31,2,164
32,0,165
33,0,166
34,23,167
35,12,168
36,11,169
37,0,170
38,0,171
39,32,168
40,0,169
41,0,170
42,9,171
43,1,172
44,0,173
45,0,174
46,0,175
47,8,176
48,4,177
49,0,178
50,0,179
51,9,179
52,0,180
53,18,180
54,0,181
55,4,182
56,0,183
57,0,184
58,30,185
59,2,186
60,0,187
61,0,188
62,42,183
63,1,184
64,0,185
65,0,186
66,0,187
67,12,186
68,0,187
69,25,185
70,0,186
71,61,185
72,0,186
73,0,187
74,0,188
75,2,189
76,0,190
77,0,191
78,20,190
79,29,186
80,16,184
81,0,185
82,0,186
83,15,186
84,0,187
85,0,188
86,0,189
87,4,190
88,0,191
89,18,190
90,0,191
91,4,192
92,0,193
93,0,194
94,45,189
95,14,190
96,0,191
97,0,192
98,0,193
99,29,192
100,0,193
